paper_id,ref_title,ref_journal
15472450903386005,Integrity of map matching,Transportation Research C: Emerging Technologies
15472450903386005,Extracting road features from color images using a cognitive approach,Intelligent Vehicles Symposium
15472450903386005,Vision-based intelligent system for autonomous and assisted downtown driving,Lecture Notes in Computer Science
15472450903386005,Producing a three-dimensional road map for car navigation,International Joint Conference on SICE-ICASE
15472450903386005,Lane detection and tracking using B-snake,Image and Vision Computing
15472450903386005,Ar-navi: An in-vehicle navigation system using video-based augmented reality technology,Lecture Notes in Computer Science
15472450903386005,Three-feature based automatic lane-detection algorithm (TFALDA) for autonomous driving,IEEE Transactions on Intelligence Transportation Systems
15472450903386005,Real-time data fusion on tracking camera pose for direct visual guidance,IEEE Intelligent Vehicles Symposium
15472450903386013,An integrated map-match algorithm with position feedback and shape-based mismatch detection and correction,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903386013,GPS vehicle navigation system,Journal of Nanjing University of Aeronautics and Astronautics
15472450903386013,Automobile navigation: Where is it going?,Position Location and Navigation Symposium
15472450903386013,Matching GPS observations to locations on a digital map,Proceedings of the 81st Annual Meeting of the Transportation Research Board
15472450903386013,Vehicle navigational system and method,NA
15472450903386013,A map-matching method with the innovation of the Kalman filtering,"IEICE Transactions on Fundamentals of Electronics, Communications, and Computer Science"
15472450903386013,A new approach to map matching for in-vehicle navigation systems: The rotational variation metric,IEEE Intelligent Transportation System Conference Proceedings
15472450903386013,"Smoothing methods designed to minimize the impact of GPS random error on travel distance, speed, and acceleration profile estimates",Transportation Research Record
15472450903386013,A new approach to linear filtering and prediction problems,Transaction of the ASME Journal of Basic Engineering
15472450903386013,Node-based map-matching algorithm for car navigation system,Proceeding of the 29th ISATA Symposium
15472450903386013,Efficient use of digital road map in various positioning for ITS,IEEE Symposium on Position Location and Navigation
15472450903386013,Q-factor map matching method using adaptive fuzzy network,Fuzzy Systems Conference Proceedings
15472450903386013,A virtual differential map matching algorithm with improved accuracy and computational efficiency,Journal of Navigation
15472450903386013,A roadmap matching method for precise vehicle localization using belief theory and Kalman Filtering,The 11th International Conference in Advanced Robotics
15472450903386013,Integrated positioning algorithms for transport telematics applications,Proceedings of the Institute of Navigation (ION) annual conference
15472450903386013,A high-accuracy fuzzy logic-based map-matching algorithm for road transport,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903386013,EDITORIAL: Special issue: Intelligent vehicle navigation (Part 1),"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903386013,Current map-matching algorithms for transport applications: State-of-the art and future research,Transportation Research Part C
15472450903386013,A road-matching method for precise vehicle localization using hybrid Bayesian network,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450903386013,Fuzzy logic-based map matching algorithm for vehicle navigation system in urban canyons,Proceedings of the Institute of Navigation (ION) National Technical Meeting
15472450903386013,Some map-matching algorithms for personal navigation assistants,Transportation Research Part C
15472450903386013,An improved map-matching algorithm used in vehicle navigation system,IEEE Proceedings on Intelligent Transportation Systems
15472451003719699,A new methodology for estimating transportation network reliability,Journal of Intelligent Transportation Systems
15472451003719699,Optimal sensor placement for freeway travel time estimation,Transportation and traffic theory
15472451003719699,A capacity related reliability for transportation networks,Journal of Advanced Transportation
15472451003719699,Travel time reliability as a measure of service,Journal of Transportation Research Board
15472451003719699,A system for displaying travel times on changeable message signs,Proceedings of the 83rd Transportation Research Board Annual Meeting (CD-ROM)
15472451003719699,Estimating travel times and vehicles trajectories on freeways using dual loop detectors,Transportation Research Part A
15472451003719699,The effect of sensor spacing on performance measure calculations,Proceedings of the 85th Annual Meeting of Transportation Research Board (CD-ROM)
15472451003719699,Prediction of link travel times in the context of Nottingham's urban road network,"Foundations for Successful Modeling and Simulation: 17th European Simulation Multiconference, Nottingham, UK"
15472451003719699,Short-term prediction models,Proceedings of the 14th World Congress on Intelligent Transportation Systems (CD-ROM)
15472451003719699,Congestion prediction on motorways: a comparative analysis,Proceedings of the 7th World Congress on Intelligent Transportation Systems (CD-ROM)
15472451003719699,Stated and reported route diversion behavior: Implications of benefits of advanced traveler information system,Journal of Transportation Research Board
15472451003719699,Regression quantiles,Econometrica
15472451003719699,Evaluation of online travel time estimators and predictors,Journal of Transportation Research Board
15472451003719699,Estimation of the time dependency of values of travel time and its reliability from loop detector data,Transportation Research Part B
15472451003719699,Travel time variability: A review of theoretical and empirical issues,Transportation Review
15472451003719699,An algorithm for prediction of travel time using vehicle sensor data,Proceedings of 3rd International Conference on Road Traffic Control
15472451003719699,Motorist response to arterial variable message signs,Journal of Transportation Research Board
15472451003719699,A simple and effective method for predicting travel times on freeways,Proceedings of IEEE Intelligent Transportation Systems
15472451003719699,Special issue on improving network reliability through ITS technologies [Special issue],"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472451003719699,Uncovering the distribution of motorists references for travel time and reliability,Econometrica
15472451003719699,Traffic flow forecasting: Comparison of modeling approaches,Journal of Transportation Engineering
15472451003719699,Travel time reliability on freeways,Proceedings of the 10th World Conference on Transport Research (CD-ROM)
15472451003719715,The cell transmission model: A dynamic representation of highway traffic consistent with the hydrodynamic theory,"Transportation Research, Part B"
15472451003719715,"The cell transmission model, Part II: Network traffic","Transportation Research, Part B"
15472451003719715,Some practical extensions to the cell transmission model,Proceedings of the 8th International IEEE Conference on Intelligent Transportation Systems
15472451003719715,State-of-the-art of vehicular traffic flow modelling [Special issue],Journal of Systems and Control Engineering
15472451003719715,A graph-based formulation for the multiple destinations dynamic traffic assignment problem,Proceedings of the 2nd International Symposium on Dynamic Traffic Assignment
15472451003719715,Traffic flow modeling of large-scale motorway networks using the macroscopic modeling tool METANET,IEEE Transactions on Intelligent Transportation Systems
15472451003719715,Traffic simulation,Revised monograph on traffic flow theory
15472451003719715,A theoretical probe of a German experiment on stationary moving traffic jams,"Transportation Research, Part B"
15472451003719715,Dynamic network traffic control,"Transportation Research, Part A"
15472451003719715,The Network Kinematic Waves Model: A simplified approach to network traffic,Journal of Intelligent Transportation Systems
15472451003719715,Review of road traffic control strategies,Proceedings of the IEEE
15472451003719715,An extension of cell transmission model for heterogeneous mobility,Proceedings of World Congress on ITS 2008
15472451003719715,"Linear programming models for the user and system optimal dynamic network design problem: Formulations, comparisons and extensions",Networks and Spatial Economics
15472451003719715,Macroscopic flow models,Revised monograph on traffic flow theory
15472451003719715,A multi-class flow traffic flow model: An extension of LWR with heterogeneous drivers,"Transportation Research, Part A"
15472451003719723,Travel time collection and traffic monitoring via GPS technologies,Proceedings of the IEEE Conference on Intelligent Transportation Systems
15472451003719723,Probe vehicle population and sample size for arterial speed estimation,Computer Aided Civil and Infrastructure Engineering
15472451003719723,An analytical evaluation of a real-time traffic information system using probe vehicles,Journal of Intelligent Transportation Systems
15472451003719723,Estimating nation-wide link speed distribution using probe position data,Journal of Intelligent Transportation Systems
15472451003719723,Determination of optimal numbers of probe vehicles for real-time traffic flow information,Proceedings of the 5th ITS Congress
15472451003719723,Travel time studies with GPS and GIS: An integrated methodology,"Transportation Research, Part C"
15472451003719723,Parameters influencing probe vehicle based travel time estimation accuracy,"Fourth Swiss Transport Research Conference, Monte Verita"
15472451003719723,Investigation of zonal sampling strategies in probe vehicle-based traffic monitoring systems,Proceedings of the 85th Annual Meeting of the Transportation Research Board
15472451003719723,Stratification strategies for sampling-based non-intrusive measurements of one-way delay,Passive and Active Measurement Workshop Proceedings
15472451003719756,Paramics—Parallel microscopic simulation of road traffic,Journal of Supercomputing
15472451003719756,Using microscopic simulation to evaluate potential intelligent transportation system strategies under nonrecurrent congestion,Transportation Research Record
15472451003719756,On the traffic light queue,Annals Math Statistics
15472451003719756,An event-based short-term traffic flow prediction model,Transportation Research Record
15472451003719756,An enhanced 0–1 mixed-integer LP formulation for traffic signal control,IEEE Transactions on Intelligent Transportation Systems
15472451003719756,Dynamic date-driven short-term traffic flow prediction model for signalized intersections,Poster presented at the 85th Transportation Research Board Annual Meeting
15472451003719756,A solution to the fixed-cycle traffic light problem for compound poisson arrivals,Journal of Applied Probability
15472451003719756,"A real-time traffic control system: Architecture, algorithms, and analysis",Transportation Research Part C
15472451003719756,Optimizing networks of traffic signals in real time-the scoot method,IEEE Transactions on Vehicular Technology
15472451003719756,The Sydney Coordinated Adaptive Traffic (SCAT) System Philosophy and Benefits,IEEE Transactions on Vehicular Technology
15472451003719756,Lane-based optimization of signal timings for isolated junctions,Transportation Research Part B
15472451003719764,"Development and performance evaluation of an ITS-ready microscopic traffic model for Irvine, California",Journal of Intelligent Transportation Systems
15472451003719764,Driver satisfaction with an urban arterial after installation of an adaptive signal system,Paper presented at Transportation Research Board Annual Meeting
15472451003719764,Real-time optimization for adaptive traffic signal control using genetic algorithms,Journal of Intelligent Transportation Systems
15472451003719764,"The Sydney Coordinated Adaptive Traffic System—Principles, methodology, algorithms",Paper presented at International Conference on Road Traffic Signaling
15472451003719764,SCATS—Application and field comparison with a TRANSYT optimised fixed time system,Paper presented at International Conference on Road Traffic Signaling
15472451003719764,An evaluation of SCOOT and SCATS through microsimulation,Paper presented at the International Conference on Application of Advanced Technologies in Transportation
15472451003719764,Comparison of before/after versus off/on adaptive traffic control evaluations: Park City case study,Paper 09-3452 presented at Transportation Research Board Annual Meeting
15472451003719764,"Field-based evaluation of corridor performance after deployment of an adaptive signal control system in Gresham, Oregon",presented at Transportation Research Board Annual Meeting
15472451003719764,Evaluation of SCATSIM-RTA adaptive traffic network simulation model,Transportation Research Record
15472451003719764,"Field evaluation of SCATS traffic control in Park City, UT",Paper presented at Intelligent Transportation Systems World Congress
15472451003719764,SCOOT and SCATS: A closer look into their operations,presented at Transportation Research Board Annual Meeting
15472451003719764,Microsimulation evaluation of the benefits of SCATS coordinated traffic control signals,presented at Transportation Research Board Annual Meeting
15472451003719764,Impact of adaptive signal control on major and minor approach delay,Journal of Transportation Engineering
15472450.2010.484740,New methodology for estimating reliability in transportation networks with degraded link capacities,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450.2010.484740,Information and usage of free-access congestible facilities with stochastic capacity and demand,International Economic Review
15472450.2010.484740,Uncertainty and the evaluation of public investment decisions,American Economic Review
15472450.2010.484740,Traveller behaviour: Decision-making in an unpredictable world,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450.2010.484740,Transport user charges and cost recovery,"Investment and the use of tax and toll revenues in the transport sector, Research in Transportation Economics, Volume 19"
15472450.2010.484740,A markup interpretation of optimal investment rules,The Economic Journal
15472450.2010.484740,Effects of demand uncertainty on optimal capacity and congestion tolls for urban highways,Journal of Urban Economics
15472450.2010.484740,Cost-benefit analysis under uncertainty,American Economic Review
15472450.2010.484740,Emperical analysis of travel time reliability measures in Hanshin Expressway network,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450.2010.484740,Highway pricing and capacity choice under uncertain demand,Journal of Urban Economics
15472450.2010.484740,Uncertainty and the timing of an urban congestion relief investment. The no-land case,Journal of Urban Economics
15472450.2010.484740,EDITORIAL: Special issue on improving network reliability through ITS technologies,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450.2010.484742,"Environmental preservation, uncertainty and irreversibility",Quarterly Journal of Economics
15472450.2010.484742,The impact of travel time information on travelers' learning under uncertainty,Transportation
15472450.2010.484742,Individual decision-making,The handbook of experimental economics
15472450.2010.484742,On the valuation of uncertainty in welfare analysis,American Journal of Agricultural Economics
15472450.2010.484742,Does the stock market overreact?,Journal of Finance
15472450.2010.484742,Further evidence on investor overreaction and stock market seasonality,Journal of Finance
15472450.2010.484742,Information value and sequential decision-making in a transport setting: An experimental study,Transportation Research Part B
15472450.2010.484742,An agent-based approach to modelling driver route choice behavior under the influence of real-time information,Transportation Research Part C
15472450.2010.484742,Investment under uncertainty and option value in environmental economics,Resource and Energy Economics
15472450.2010.484742,The coordination problem in a structural model of peak-period congestion: An experimental study,Review of Network Economics
15472450.2010.484742,Investment decisions under uncertainty: the irreversibility effect,American Economic Review
15472450.2010.484742,Risk aversion and incentive effects,American Economic Review
15472450.2010.484742,A representation theorem for “preference for flexibility.”,Econometrica
15472450.2010.484742,Testing for risk aversion: A stochastic dominance approach,Economic Letters
15472450.2010.484742,"What's causing overreaction? An experimental investigation of recency and the hot hand effect, mimeo",The Scandinavian Journal of Economics
15472450.2010.484742,Special issue on improving network reliability through ITS technologies,Journal of Intelligent Transportation Systems
15472450.2010.484742,Experimental investigations of day-to-day route choice behavior and network simulations of autobahn traffic in Nord Rhine-Westphalia,Human behavior and traffic networks
15472450.2010.484742,Experimental economics: Induced value theory,American Economic Review
15472450.2010.484742,Simulation evaluation of the benefits of real-time traffic information to trucks during incidents,Journal of Intelligent Transportation Systems
15472450.2010.484742,Evaluation of the potential benefits of advanced traveler information systems,Journal of Intelligent Transportation Systems
15472450.2010.484746,"The importance of time in transit and reliability of transit time for shippers, receivers and carriers",Transportation Research Part B
15472450.2010.484746,"Information gain, novelty seeking and travel: A model of dynamic activity-travel behaviour under conditions of uncertainty",Transportation Research Part A
15472450.2010.484746,The valuation of reliability for personal travel,Transportation Research Part E
15472450.2010.484746,"Risk aversion, road choice, and the one-armed bandit problem",Transportation Science
15472450.2010.484746,Value of travel information: Theoretical framework and numerical examples,Transportation Research Record
15472450.2010.484746,Information impact on quality of multimodal travel choices: Conceptualizations and empirical analyses,Transportation
15472450.2010.484746,Use and effects of Advanced Traveller Information Services (ATIS): A review of the literature,Transport Reviews
15472450.2010.484746,Travelers' need for information in traffic and transit: Results from a web-survey,Journal of Intelligent Transportation Systems
15472450.2010.484746,Validation of a multimodal travel simulator with travel information provision,Transportation Research Part C
15472450.2010.484746,Revealing consumer preferences by observing information search,Journal of Choice Modelling
15472450.2010.484746,Equilibria and information provision in risky networks with risk averse drivers,Transportation Science
15472450.2010.484746,Route choice behavior with risk averse users,Spatial evolution and modelling
15472450.2010.484746,Effects of information in road transport networks with recurrent congestion,Transportation
15472450.2010.484746,Variable message signs and radio traffic information: An integrated empirical analysis of drivers' route choice behaviour,Transportation Research Part A
15472450.2010.484746,Pricing of track time in railroad operations: An internal market approach,Transportation Research Part B
15472450.2010.484746,Incorporating an information acquisition process into a route choice model with multiple information sources,Transportation Research Part C
15472450.2010.484746,How consumers allocate their time when searching for information,Journal of Marketing Research
15472450.2010.484746,Empirical analysis of travel time reliability measures in Hanshin expressway network,Journal of Intelligent Transportation Systems
15472450.2010.484746,A new measure of travel time reliability for in-vehicle navigation systems,Journal of Intelligent Transportation Systems
15472450.2010.484746,Willingness to pay for travel information,Transportation Research Part C
15472450.2010.484746,The value of time and reliability: Measurement from a value pricing experiment,Transportation Research Part E
15472450.2010.484746,Estimation of the time-dependency of values of travel time and its reliability from loop detector data,Transportation Research Part B
15472450.2010.484746,Price uncertainty and consumer search: A structural model of considerations and formation,Marketing Science
15472450.2010.484746,Why don't more people use advanced traveller information? Evidence from the Seattle area,Paper presented at the 83rd meeting of the Transportation Research Board
15472450.2010.484746,"Comparative analysis of customer response to online traffic information in two cities: Los Angeles, California and Seattle, Washington",Transportation Research Record
15472450.2010.484746,Search models and choice set generation,Transportation Research Part A
15472450.2010.484746,Special issue on improving network reliability through ITS technologies,Journal of Intelligent Transportation Systems
15472450.2010.484746,Pre-trip information systems: An investigation into users' information acquisition process,Paper presented at the 78th meeting of the Transportation Research Board
15472450.2010.484746,The impact of Advanced Traveler Information Services on travel time and schedule delay costs,Journal of Intelligent Transportation Systems
15472450.2010.484746,Evaluation of the potential benefits of advanced traveler information systems,Journal of Intelligent Transportation Systems
15472450.2010.484746,Development of a mixed multi-nomial logit model to capture the impact of information systems on travelers' switching behavior,Journal of Intelligent Transportation Systems
15472450.2010.484746,A search model for microeconomic analysis—With spatial applications,Spatial interaction theory and planning models
15472450.2010.484746,The economics of consumer information acquisition,Journal of Business
15472450.2010.484749,Comportements individuels devant le risque et transformation des probabilités [Individual behaviors in risky situations and transformation of probability distributions],Revue d'Economie Politique
15472450.2010.484749,The theory of risk aversion,Aspects of the theory of risk bearing
15472450.2010.484749,Violations of expected utility theory in route-choice stated preferences,Transportation Research Record
15472450.2010.484749,Sensitivity to travel time variability: Travelers' learning perspective,Transportation Research Part C
15472450.2010.484749,A theory of the allocation of time,The Economic Journal
15472450.2010.484749,Random orderings and stochastic theories of response,Contributions to probability and statistics
15472450.2010.484749,Traveller behavior: Decision-making in an unpredictable world,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450.2010.484749,An analysis of transformations,"Journal of the Royal Statistical Society, Series B"
15472450.2010.484749,Comonotonicity axioms and RDEU theory for arbitrary consequences,Journal of Mathematical Economics
15472450.2010.484749,Risk seeking with diminishing marginal utility in a non-expected utility model,Journal of Risk and Uncertainty
15472450.2010.484749,Risk aversion in the theory of expected utility with rank dependent preferences,Journal of Economic Theory
15472450.2010.484749,The comonotonic sure thing principle,Journal of Risk and Uncertainty
15472450.2010.484749,The value of travel information: A search-theoretic approach,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450.2010.484749,Risk-aversion concepts in expected and non-expected utility models,The Geneva Papers on Risk and Insurance Theory
15472450.2010.484749,Décisions dans le risque et l'incertain: L'apport des modèles non additifs [Decision under risk and uncertainty: the contribution of non additive models],Revue d'Economie Politique
15472450.2010.484749,"Risk, uncertainty and discrete choice models",Marketing Letters
15472450.2010.484749,Route choice decision under travel time uncertainty,Transportation Research Part A: Policy and Practice
15472450.2010.484749,A theory of the economics of time,The Economic Journal
15472450.2010.484749,Modelling perception updating of travel times in the context of departure time choice under ITS,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations"
15472450.2010.484749,Adaptive route choices in risky traffic networks: A prospect theory approach,Transportation Research Part C
15472450.2010.484749,The inverse power transformation logit and dogit mode choice models,Transportation Research B
15472450.2010.484749,An introduction to Bernoullian utility theory. I. Utility functions,Swedish Journal of Economics
15472450.2010.484749,Prospect theory: An analysis of decision under risk,Econometrica
15472450.2010.484749,Nonlinearity and specification of attitudes toward risk in discrete choice models,Transportation Research Records
15472450.2010.484749,Measuring competition in air transportation,"Proceedings of the Airport and Air Traffic-Regulation, Privatization and Competition Conference"
15472450.2010.484749,The structure of random utility models,Theory and Decision
15472450.2010.484749,Conditional logit analysis of qualitative choice behavior,Frontiers of econometrics
15472450.2010.484749,"Travel time uncertainty, departure time choice, and the cost of morning commutes",Transportation Research Record
15472450.2010.484749,"Travel-time uncertainty, departure time choice and the cost of the morning commute",Regional Science and Urban Economics
15472450.2010.484749,Risk aversion in the small and in the large,Econometrica
15472450.2010.484749,A theory of anticipated utility,Journal of Economic Behavior and Organization
15472450.2010.484749,Increasing risk I: A definition,Journal of Economic Theory
15472450.2010.484749,Increasing risk II: Its economic consequences,Journal of Economic Theory
15472450.2010.484749,Subjective probability and expected utility without additivity,Econometrica
15472450.2010.484749,Reference points in commuter departure time choice: A prospect theoretic test of alternative decision frames,Journal of Intelligent Transportation Systems
15472450.2010.484749,The scheduling of consumer activities: Work trips,American Economic Review
15472450.2010.484749,On the comparative anatomy of transformations,Annals of Mathematical Statistics
15472450.2010.484749,Advances in prospect theory: Cumulative representation of uncertainty,Journal of Risk and Uncertainty
15472450.2010.484749,Separating marginal utility and risk aversion,Theory and Decision
15472450.2010.484749,The sure-thing principle and the comonotonic sure-thing principle: An axiomatic analysis,Journal of Mathematical Economics
15472450.2010.484749,Curvature of the probability weighting function,Management Science
15472450.2010.484751,Valuing time and reliability: Assessing the evidence from road pricing demonstrations,"Transportation Research, Part A: Policy & Practice"
15472450.2010.484751,Equilibria and information provision in risky networks with risk-averse drivers,Transportation Science
15472450.2010.484751,Headstart strategies for combating congestion,Transportation Science
15472450.2010.484751,An empirical study of travel time variability and travel choice behavior,Transportation Science
15472450.2010.484751,Stated preferences for investigating commuters' diversion propensity,Transportation
15472450.2010.484751,Modeling revealed and stated pre-trip travel response to ATIS,Transportation Research Record
15472450.2010.484751,Assessing transport reliability: Malvolence and user knowledge,The network reliability of transport: Proceedings of the 1st International Symposium on Transportation Network Reliability
15472450.2010.484751,Travel time variability: A review of theoretical and empirical issues,Transport Reviews
15472450.2010.484751,Simulating travel reliability,Regional Science & Urban Economics
15472450.2010.484751,Editorial: Special issue on improving network reliability through ITS technologies,Journal of Intelligent Transportation Systems
15472450.2010.484751,The scheduling of consumer activities: Work trips,American Economic Review
15472450.2010.484751,Travel time versus capacity reliability of a road network,Reliability in transport networks
15472450.2010.484753,Investigating effect of travel time variability on route choice using repeated measurement stated preference data,Transportation Research Record
15472450.2010.484753,The valuation of reliability for personal travel,Transportation Research E
15472450.2010.484753,Risk-averse user equilibrium traffic assignment: An application of game theory,Transportation Research B
15472450.2010.484753,Modelling network travel time reliability under stochastic demand,Transportation Research B
15472450.2010.484753,A note on two problems in connexion with graphs,Numerische Mathematik
15472450.2010.484753,A survey and annotated bibliography of multi-objective combinatorial optimisation,OR Spektrum
15472450.2010.484753,Expected shortest paths in dynamic and stochastic traffic networks,Transportation Research B
15472450.2010.484753,A formal basis for the heuristic determination of minimum cost paths,IEEE Transactions on Systems Science and Cybernetics
15472450.2010.484753,A computational study of routing algorithms for realistic transportation networks,"Proceedings from the 2nd Workshop on Algorithmic Engineering, CITY, Germany"
15472450.2010.484753,A new measure of travel time reliability for in-vehicle navigation systems,Journal of Intelligent Transportation Systems
15472450.2010.484753,A dynamic window-based approximate shortest path re-computation method for digital road map databases in mobile environments,Lecture Notes in Computer Science
15472450.2010.484753,Lifelong planning A*,Artificial Intelligence
15472450.2010.484753,The value of time and reliability: Measurement from a value pricing experiment,Transportation Research E
15472450.2010.484753,Uncovering the contribution of travel time reliability to dynamic route choice using real-time loop data,Transportation Research A
15472450.2010.484753,Simulating travel reliability,Regional Science and Urban Economics
15472450.2010.484753,Dynamic and stochastic shortest path in transportation networks with two components of travel time uncertainty,Transportation Research C
15472450.2010.484753,A new algorithm to compute alternate paths in reliable OSPF (ROSPF),Proceedings of the International Conference on Parallel and Distributed Processing Techniques and Applications
15472450.2010.484753,A decision support system for dynamic pre-trip route planning,Proceedings of the 4th ASCE International Conference on Application of Advanced Technologies in Transportation
15472450.2010.484753,The variance-constrained shortest path problem,Transportation Science
15472450.2010.484753,A classification of bicriterion shortest path (BSP) algorithms,Asia-Pacific Journal of Operational Research
15472450.2010.484753,Optimal and efficient path planning for partially known environments,Proceedings of the IEEE International Conference on Robotics and Automation
15472450.2010.484753,The focused D* algorithm for real-time replanning,Proceedings of the 14th International Joint Conference on Artificial Intelligence
15472450.2010.484753,,k
15472450.2010.516226,Traffic effects of driver assistance systems: The approach within INVENT,Proceedings of the 10th World Congress on Intelligent Transportation Systems
15472450.2010.516226,"Raising awareness of ICT for smarter, safer and cleaner vehicles",NA
15472450.2010.516226,Car-following under non-congested and congested conditions.,Transportation Research Record
15472450.2010.516226,Extending adaptive cruise control (ACC) towards adaptive driving strategies,Transporation Research Record
15472450.2010.516226,Cooperative collision warning systems: Concept definition and experimental implementation.,Journal of Intelligent Transportation Systems
15472450.2010.516226,"Understanding widely scattered traffic flows, the capacity drop, platoons, and times-to-collision as effects of variance-driven time gaps",Physical Review E.
15472450.2010.516226,The impact of autonomous intelligent cruise control on traffic flow,Proceedings of the 3rd World Congress on Intelligent Transport Systems.
15472450.2010.516226,Modelling traffic flows with intelligent cars and intelligent roads,Proceedings of the IEEE Intelligent Vehicles Symposium
