paper_id,abstract
15472450.2010.484746,"This article presents a formulation of information acquisition that uses search theory to evaluate the value of information. The value of information is the added utility from being able to choose from the available travel alternatives after having received the information. There are three main advantages to the formulation: first, it results in a parsimonious model of information acquisition and travel choice. Second, it enables the use of observed information acquisition behavior for the estimation of travel related parameters (e.g., value of time). Third, its parameters are easily interpretable. The formulation is tested using data from a multimodal travel simulator with information provision. Estimation results provide face validity to the formulation. Results indicate that travelers on non–business trips attach particular importance to mean travel times, whereas during business trips travel time variability also plays an important role. Also, it is found that travelers prefer information that adds previously unknown alternatives to their choice set over information that provides estimates for uncertain attributes of known alternatives. A substantial heterogeneity exists with respect to travelers' valuation of the costs and benefits of travel information."
15472450.2010.484749,"This article develops a disaggregate discret-choice model for risky travel alternatives, considering travel time as a random variable. The theory of rank-dependent expected utility is used to describe traveler behavior. It disentangles attitude toward risk of travel time loss (perception of time distributions) from attitude toward wealth (perception of time outcomes). The key assumption is that decision makers formulate their own beliefs on probability distributions whenever information is public knowledge. The concept of travel-time reliability premium is then defined. It generalizes the notion of value of travel time savings by proposing a measure of the willingness-to-pay to get another time distribution. An application to air route choice is demonstrated by using a sample of regular business passengers who belong to an airline loyalty program. The empirical approach relies on estimating a Box-Cox Logit model."
15472450.2010.484751,"Understanding how reliability is valued is important because it provides insight into how aims of policies that aspire to provide better transport options can be more fully integrated with user expectations. Better reliability is a desired outcome of transportation policies because it reduces scheduling costs. This study uses a stated preference survey to collect route preference data, in which each route is described by the travel time experience on it. Because travel-time decisions are made from momentary recollections of past experience, the paradigm adopted in this study is that the mode travel time rather than the mean is the important basis for travel time decisions. The authors then explore three alternate measures of reliability and use them to estimate route choice models on the basis of the stated preference data. Two of the measures, range coupled with lateness probability and standard deviation, have been explored before. A third measure based on time moment (moments of inertia) measured from the mode travel time is also proposed and tested. Each measure reveals something different about how people value different aspects of reliability. In all cases, reliability is valued highly, although differently depending on how it is defined. The values of reliability and travel time highlight that transportation policy makers can provide significant benefits to users from strategies that seek to increase reliability."
15472450.2010.484753,"In this article, the authors propose an efficient algorithm for finding a risk-averse path for use in autonomous vehicle navigation systems. When no dynamic traffic information is available, a risk-averse path can be found by a constrained A* search. The accuracy of navigation on the basis of static network data is improved by taking travel-time uncertainty into account. When dynamic traffic information in the form of broadcast traffic messages is available, rerouting is achieved by a constrained A* search, which takes congestion propagation into account. By making use of information computed at the start of the trip, the authors propose a responsive version of the constrained A* search, which reduces the on-demand response time. An experimental performance analysis of the proposed methods on grid graphs demonstrates their efficiency."
15472450.2010.516226,"This article presents the results of a microscopic traffic simulation study conducted to investigate the impact of a Congestion Assistant on traffic efficiency and traffic safety. The Congestion Assistant is an in-vehicle system in which an active pedal supports the driver when approaching congestion and a stop-and-go function when driving in congestion. The authors used an Intelligent Transportation System (ITS) Modeller traffic flow simulation tool to study the effect of the Congestion Assistantin congestion caused by a lane drop. This article describes (a) how the Congestion Assistant operates and (b) the main features of the ITS Modeller. Furthermore, it examines the calibration and validation of the ITS Modeller for congestion caused by a lane drop using traffic flow measurements on a segment of the Dutch A12 highway. Simulation experiments of different penetration rates and system settings show that the stop and go leads to a 30% decrease in travel-time delay at a 10% penetration rate, while the active pedal leads to small reductions in travel-time delay. Compared with the stop-and-go function, the active pedal has fewer sharp accelerations and decelerations, which implies better traffic safety and driver comfort. The effect of the stop-and-go active pedal combination is similar to that of the stop-and-go function on its own. The authors further discuss the implications of the results."
15472450.2010.516229,"One popular intelligent transportation systems (ITS) element that has been deployed in various areas of the United States is variable-message signs (VMSs). Such signs are part of advanced traveler information systems, and they can help drivers make better en route decisions regarding their trips. Unlike most other ITS elements (e.g., ramp metering, advanced signals), VMSs are not supported by mandatory regulations. Consequently, the expected benefit from implementing VMSs largely depends on the response of drivers. This study explored the factors affecting alternative route choices of car drivers with VMSs on the interstate highway system. This study adopted a method called LOTUS to analyze driver-compliance behavior with VMSs. Driver behavior under information provision through VMS data has been collected using the stated-preference approach. The study showed that travel-time saving is not the single dominant factor for driver route choice under information provision. This article explores variables that are associated with driver compliance."
15472450.2010.516232,"This article formulates an improved integer-programming model to assign multiple types of emergency response service units among their candidate base stations to maximize the coverage to the critical infrastructures, subject to station capacity, service time, and reliability constraints. Unlike past models, this new model formulation accounts for the fluctuation of travel time and demand frequency at different time periods of a day. The potential applications of the model have been illustrated via a case study of assigning firefighting units and ambulances in the city of El Paso, Texas. This article also demonstrates how the model can be modified for the selection of a new base station, increase in fleet size, station capacity expansion, or a combination of these."
15472450.2010.517477,"The estimation of path or trip travel-time reliability is critical to any advanced traveler information system. The state-of-practice procedures for estimating path travel-time reliability assume that travel times follow a normal distribution and that segment travel times are independent (i.e., trip variance is a summation of segment variances). The present study analyzes Automatic Vehicle Identification (AVI) data from San Antonio, Texas, and simulated data to demonstrate through goodness-of-fit tests that a log-normal travel-time distribution is valid only under steady-state conditions, whereas a normal distribution is not valid. In the present article, the authors propose five methods for the estimation of path travel-time variance from its component segment travel-time variances. The analysis demonstrates that computing the trip travel-time coefficient of variation as the conditional expectation over all realizations of roadway segments provides estimates within 70% of trip travel-time variance for both uncongested and congested conditions."
15472450.2011.544571,"Vehicle reidentification methods can be used to anonymously match vehicles crossing 2 different locations on the basis of vehicle attribute data. In this article, reidentification methods are developed to match commercial vehicles that cross 2 weigh-in-motion sites in Oregon that are separated by 145 miles. Using vehicle length and axle data as attributes to characterize vehicles, a Bayesian model is developed that uses probability density functions obtained by fitting Gaussian mixture models to a sample data set of matched vehicles. The reidentification model when applied to a test data set (where each downstream vehicle also crosses the upstream site) matches vehicles with an accuracy of 91% when both axle weight and axle spacings data are used. To account for the fact that not all vehicles in the downstream also cross the upstream site, an additional new step is developed to screen mismatched vehicles produced by the algorithm. For this step, several screening methods are developed that allow the user to trade off the total number of matched vehicles and error rate. For evaluating the effectiveness of the screening methods, 2 scenarios are considered. In the first scenario, only common vehicles that cross both the upstream and downstream sites are considered, whereas in the second scenario all downstream vehicles are considered. It is shown that the mismatch error can be reduced to as low as 1% and 5% at the expense of not matching about 25% of the common vehicles (crossing both sites) for the first and second scenarios, respectively."
15472450.2011.544576,"Travel demand estimation is a complicated process because it is highly influenced by human perceptions and behaviors embedded in travelers’ decision making. In addition, some variables in travel demand estimation models have inexact values, especially the ones that are required for future estimation of travel demand. This article offers and applies an expert-guided algorithm to incorporate expert knowledge into Adaptive Network-Based Fuzzy Inference System (ANFIS) for handling travel demand estimation uncertainties. ANFIS is an appropriate hybrid intelligent system combining fuzzy logic and neural networks. The ANFIS rule base structure facilitates integration of qualitative knowledge acquired from experts and quantitative information from observational data. An expert-guided algorithm in conjunction with ANFIS, called expert-guided ANFIS (EGANFIS), is presented to compensate data insufficiency caused by uncertainties. The EGANFIS is applied to a real-world problem for estimating trip production, attraction, distribution, and modal split in Shiraz, a large city in Iran. The comparison of results with traditional models and ANFIS shows that EGANFIS increases performance of travel demand estimation models in terms of learning and indicates that the model is accurate enough to provide meaningful information and to enable generalization of the findings. Furthermore, rule base structure of EGANFIS enhances its interpretability in comparison with traditional models."
15472450.2011.544584,"The authors present a framework for a geographic information systems (GIS)–based decision support system (DSS) designed to provide online routing instructions in response to updated information on traffic and weather conditions for vehicles transporting hazardous materials. Embedded within the DSS is a heuristic that exploits a spatially and temporally rolling horizon. The heuristic is implemented using standard, widely available tools to facilitate adoption by decision makers. The DSS's ability to dynamically update instructions in response to real-time information is demonstrated along the corridor between the metropolitan areas of Washington, D.C., and Baltimore, Maryland."
15472450.2011.544587,"Vision-based lane departure warning systems (LDWS) use images collected by small cameras to track the pavement markings and warn drivers when their vehicles perform unintended drifts out of the travel lanes. Pavement marking visibility at night is a function of the marking's retroreflectivity. During rain, pavement markings are covered by water, reducing the retroreflectivity and adversely affecting the visibility of the markings at night. This study examines the effects of the marking's retroreflectivity on the performance of LDWS, based on tests conducted in the field and in a simulated rain facility. The results indicate that improving the retroreflectivity attributes of commonly used pavement marking materials such as thermoplastic and paints improves the performance of LDWS for rain conditions at night. In addition, this performance improves significantly with the use of enhanced types of pavement markings that have high visibility during rain."
15472450.2011.544589,"Intelligent transportation systems–based lane management technologies were introduced to work zones in an attempt to reduce congestion and diminish queue lengths. Two forms of lane merging—the early merge and the late merge—were designed to advise drivers on definite merging locations. This study suggests two SDLMS—early merge and late merge—to supplement the current Florida Maintenance of Traffic (MOT) plans. Data were collected in work zones on I-95, Florida using three different traffic maintenance treatments. The first MOT plan treatment was the standard MOT used by the Florida Department of Transportation. The second MOT plan was the early SDLMS, and the third MOT was the late SDLMS. Results showed that the maximum queue discharge rate (or capacity) of the work zone was significantly higher for the early SDLMS compared to the conventional Florida Department of Transportation MOT plans. The late SDLMS did not result in significant increase in the work zone capacity. Moreover, results showed that early merging rate was the highest for the early SDLMS and the lowest for the late SDLMS, which suggests that some drivers were complying with the messages displayed by the system."
15472450.2011.570103,"Low-logging frequency GPS probe data have become a major data source for large-scale freeway network traffic monitoring. A critical step in GPS data processing is map matching. However, traditional map-matching algorithms are developed for in-vehicle navigation with high-logging frequency GPS data, noting that high-logging frequencies can be 1 s, whereas low-logging frequencies can be a few minutes. Such algorithms map a new GPS positioning point instantaneously given its historical points and network topology. Using high-logging frequency data-based map-matching algorithms for low-logging frequency data can cause several problems. First, large mapping errors in previous GPS points can easily propagate to the current points. Second, one-point-a-time processing is not effective and not necessary for traffic monitoring. Multiple GPS points can be processed together to determine routes more effectively. In this article, the authors propose a map-matching framework for low-logging frequency GPS probe data. The proposed framework (a) incorporates curve matching and probabilistic analysis modules of high-logging frequency map-matching algorithms and (b) introduces a new route determination algorithm for multipoint processing on the basis of fuzzy logic and a concurrent version of the N-shortest path algorithm. The authors evaluated the proposed model using field GPS data sets collected in Los Angeles, California. Evaluation methods include not only traditional random mapping case inspection but also a comparison between the GPS-detected speed and the ground truth loop-detector speed to evaluate its effectiveness for traffic monitoring. The evaluation results illustrate the effectiveness and robustness of the proposed framework."
15472450.2011.570109,"Information about bus travel time and its variability is a key indicator of service performance, and it is valued by passengers and operators. Despite the important effect of traffic flow on bus travel time, previous predictive approaches have not fully considered a traffic measure making their predictions unresponsive to the dynamic changes in traffic congestion. In addition, existing methodologies have primarily concerned predicting average travel time given a certain set of input values. However, predicting travel-time variability has not received sufficient attention in previous research. This article proposes an integrated framework to predict bus average travel time and its variability on the basis of a range of input variables including traffic flow data. The framework is applied using GPS-based travel-time data for a bus route in Melbourne, Australia, in conjunction with dynamic traffic flow data collected by the Sydney Coordinated Adaptive Traffic Systems loop detectors and a measure of schedule adherence. Central to the framework are two artificial neural networks that are used to predict the average and variance of travel times for a certain set of input values. The outcomes are then used to construct a prediction interval corresponding to each input value set. The article demonstrates the ability of the proposed framework to provide robust prediction intervals. The article also explores the value that traffic flow data can provide to the accuracy of travel-time predictions compared with when either temporal variables or scheduled travel times are the base for prediction. While the use of scheduled travel times results in the poorest prediction performance, incorporating traffic flow data yields minor improvements in prediction accuracy compared with when temporal variables are used."
15472450.2011.570111,"Electronic screening (e-screening) sorts and diverts commercial vehicles that have a high likelihood of being overweight into a weigh station using weigh-in-motion technology. E-screening is known to add significant efficiency in operating weigh stations by allowing eligible trucks to bypass the in-station inspection, hence reducing the congestion at the weigh station. The primary goal of this study was twofold: (a) to develop a simulation model for describing the e-screening operation at truck weigh stations and (b) to analyze and evaluate the weigh station operation with varying values of affecting factors including the transponder penetration rate and the weigh-in-motion weight threshold. This study focuses the e-screening operation at a small weigh station with relatively short queuing area and heavy truck volumes, which is inevitably vulnerable to truck overflows and is sensitive to the prevailing transponder penetration rate and the weigh-in-motion threshold. The simulation results reveal that an e-screening operation can substantially improve the overweight enforcement and can reduce the travel time of legal trucks passing the test weigh station. The simulation results also demonstrate that properly adjusted weigh-in-motion thresholds can effectively enhance the overweight enforcement by preventing overweight trucks from being granted a false green light as a result of the erroneous weigh-in-motion measurement error. The study results also indicate that with the transponder penetration rate equal to or less than 20%, the e-screening benefits are relatively insignificant and adjusting the weigh-in-motion threshold may further deteriorate the enforcement efficiency."
15472450.2011.570114,"Travel time is an important measure for transportation system performance evaluation. In particular, it is an essential input to the advanced traveler information systems and route guidance applications that requires reliable traffic information in real time. Therefore, numerous studies have been conducted to predict segment and corridor travel times on the basis of data from loop detectors. Focusing on freeway corridor travel-time prediction that incorporates the effect of traffic propagation, this article presents a dynamic prediction model using the traffic measurements from presence-type vehicle detector data. The authors designed a multistep predictor in the form of a seasonal autoregressive integrated moving average model with an embedded adaptive Kalman filter that allows for continued adjustment of prediction results when new data become available in real time. The authors evaluated the corridor travel-time prediction method against 2 alternative methods using the same procedure as proposed, but one does not consider the effects of traffic propagation along the corridor and the other one does not perform the multiple-step traffic prediction. Along with the performance metrics, this study demonstrates the advantages of the model in capturing the dynamics of traffic and reveals the significant effects of traffic propagation on corridor travel-time prediction for producing more accurate prediction results. The authors also developed an online implementation framework."
15472450.2011.594669,"Transportation planning in general, and planning for intelligent transportation systems (ITSs) in particular, are notable for multiple goals and for multiple constituencies. A review of the current literature offers several ITS investment evaluation methods that provide frameworks for the quantification of risks and benefits. Nevertheless, the traditional selection methods overemphasize quantitative and economic analysis and often neglect to consider qualitative and noneconomic data in the formal selection process. Furthermore, crisp data are fundamentally indispensable in traditional ITS investment selection methods. However, the data in real-world problems are often imprecise or ambiguous. In this article, we propose a novel fuzzy group multi-criteria framework for ITS investment evaluation and selection that takes into consideration (1) the qualitative and quantitative criteria and their respective value judgments; (2) the verbal expressions and linguistic variables for qualitative judgments which lead to ambiguity in the decision process; and (3) imprecise or vague judgments. First, we use fuzzy TOPSIS to calculate the fuzzy risk values with each ITS architecture subsystem. Next, we use fuzzy ROA to calculate the fuzzy real option values of the ITS subsystems. Last, we determine the optimal investment schedule for the ITS subsystems by considering the risk and option values as the coefficients of the objective functions in a group multi-objective decision-making model."
15472450.2011.594681,"Communication systems are the basis of every effective and reliable traffic control and management application. While cellular-based communication through commercial carriers is widely used for online traffic management applications, public agencies have also begun to consider other technologies, such as WiFi and WiMAX. Most such agencies still seek additional guidelines for the selection of suitable wireless options for different traffic control and management applications under different physical and environmental conditions. Performance and reliability are among the most important parameters to be considered when examining wireless communication options for traffic control and management applications. The authors first conducted interviews with selected traffic agencies regarding their experiences with performance of wireless communication infrastructure, as well as their interests and plans on future expansion. Next, they conducted a thorough literature review focusing on various wireless technologies that could be used in an intelligent transportation system environment. Last, the authors conducted a case study in which a section of the South Carolina Department of Transportation traffic camera system was wirelessly connected via either WiFi or WiMAX network architecture. This case study followed the proposed network design process presented in the article using WiFi and WiMAX technologies to support a traffic surveillance system that considered coverage range and two different network topologies: mesh/ad hoc (devices forward data to neighboring devices to reach the destination) and infrastructure (devices send data to an access point directly). The network simulator ns-2 was used to assess the average throughput that each camera can receive in different network topologies. Throughput/cost analysis of WiFi and WiMAX mesh and infrastructure topologies indicated that for given number of devices, a mesh network has better throughput for every dollar spent than infrastructure based topology. This article provides a foundation for further investigation of WiFi and WiMAX performance and reliability under different network topologies. Findings from this research will benefit transportation agencies and other stakeholders in evaluating and selecting wireless communication options and network topologies for various traffic control and management applications."
15472450.2011.594691,"Vehicular Ad-Hoc Networks (VANETs) attract considerable research and commercial interest with promising applications in a number of areas including cooperative vehicle-highways systems, sensor networks, and safety systems. However, as a result of high speed and variable driver behavior, automotive ad-hoc networks behave in fundamentally different ways to the most prevalent models in Mobile Ad-Hoc Network (MANET) research. Previous work in MANETs has mostly assumed that the mobile nodes move randomly with an unconstrained mobility model, and it is clear that a random mobility model is not adequate to represent the major characteristics of real-world vehicle motions and may therefore lead to unreliable results. Recent studies of VANETs have attempted to introduce macro- and micromobility constraints to model vehicle motions, but they have mostly focused on modeling the mobility of generic private vehicles. Given the potential for the coordinated deployment of network nodes on centrally managed fleet vehicles, it has become important to model the characteristics of a VANET featuring vehicles of different types, with systematically different behavior patterns. In this article, the authors study the connectivity of mobile ad-hoc networks that consist of buses moving in urban area and examine the implications for transport-related services. Buses have a unique set of behavior characteristics (e.g., fixed routes, schedules, bus stops, specific priorities), which gives rise to distinct effect on node connectivity in the communication network. Through extensive simulations on the basis of real bus routes in central London, the authors (a) demonstrated the effect of the locations of stops and the prevailing traffic patterns on node connectivity (including the distributions of contact duration and intercontact time between buses) and (b) explored its implication on the design of a dissemination system to capture and disseminate data. Their results give a key message that the mobility of buses has to be modeled explicitly, and such kind of knowledge of connectivity among buses will be significant for the studies of routing algorithms and other networking functions in interbus communication networks."
15472450.2011.620474,"Future road vehicles are expected to support point-to-point and long-range wireless connectivity as a standard feature, allowing data transfers while moving. In this vein, it is possible to forecast and develop new communication paradigms, as well as new infrastructures to take advantage of peculiarities of vehicular networks. This article introduces an optimized framework, on the basis of peer-to-peer principles, to manage content replication and dissemination through a mobile vehicular network. This is obtained through a discrete-time dynamic system over which an optimization problem must be solved in real time. Such a solution enables two different operations: (a) to overcome bandwidth limitations for distributing information among vehicles (e.g., traffic or security bulletins and multimedia contents) in an efficient way; (b) to use the vehicular flow as a virtual backbone to deliver data to different spatial locations without the need of a fixed network infrastructure. Simulations are provided to show the effectiveness of the proposed approach, with respect to classic peer-to-peer distribution schemes directly “ported” over the vehicular network. A direct comparison with an infrastructure-oriented solution is also presented."
15472450.2011.620478,"Despite the rapid development of concepts used in current map-matching algorithms, the continuous movement of a vehicle is often ignored or just limited to 1 or several previous matches. This may result in errors in complicated situations such as at Y-junctions, and entrance or exit ramps of a highway. The trajectory-based map-matching algorithm, which determines the matching road by comparing the vehicle trajectory against candidate roads, has the potential to overcome this limitation. However, the curve-to-curve matching as a simple form of trajectory-based map-matching fails to address this. The key issue of a trajectory-based map-matching algorithm is how to evaluate the similarity between the trajectory and the possible traveling roads. This article develops a synthetic fuzzy evaluation method to address the issue. The similarities are quantified in terms of location, shape, direction, and behavior. As a new input in map-matching, vehicle behavior refers to changes in the motion of the vehicle such as turning, which is restrained by the geometry of traveling road. The article also proposes a multilevel fuzzy synthetic evaluation process to assess the similarities and hierarchically synthesize them into a final evaluation. The method is evaluated using GPS positions recorded with a vehicle traveling in the urban area of Beijing, China. The traveled road paths include complicated roads conditions such as flyovers, highway entrances and exits. The method identifies more than 98% of the road segments correctly, showing a significant improvement over existing map-matching algorithms."
15472450.2011.620487,"Given a traffic network, the problem of identifying the smallest subset of links on which to locate sensors that allow the exact estimation of a given subset of links flows is dealt with, and methods for solving this partial link-observability problem are given. As sources of information, the authors consider 2 separate types of link sensors: counters and scanners. The first type leads to a method, which is an alternative to the previous method of Hu, Peeta, and Chu. First, the authors show how the previous method can be directly used for solving the partial observability problem. Next, the authors present a simple alternative algorithm, based on the pivoting strategy, that can include information about route and Origin-Destination (OD) flows observability. The observability problem based on scanners leads to a more difficult problem but supplies much more information about traffic flows. The authors give 2 simple algorithms for solving this problem in this case. The first algorithm allows checking that a given subset of links supplies the required information to estimate the flows in the selected subset of links, and provides information about route and OD observability. The second, which is a random algorithm, permits reducing the number of links of an initial subset of scanned links that solves the problem, and when a further reduction is not possible, modifies the initial set of scanning links for a new trial randomly. The proposed methods are illustrated using the parallel highway network of Hu, Peeta, and Chu. Last, the authors apply methods to two examples of applications—the Nguyen-Dupuis and the real Cuenca network—and provide some conclusions."
