paper_id,doi,title,year,startpp,endpp,cited,issue_no,pdf_url,paper_type,title_pro,abstract,abstract_pro
15472450.2011.570114,10.1080/15472450.2011.570114,A Multistep Corridor Travel-Time Prediction Method Using Presence-Type Vehicle Detector Data,2011,104,113,27,2011-15-2,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.570114,regular,a multistep corridor travel time prediction method using presence type vehicle detector data,"Travel time is an important measure for transportation system performance evaluation. In particular, it is an essential input to the advanced traveler information systems and route guidance applications that requires reliable traffic information in real time. Therefore, numerous studies have been conducted to predict segment and corridor travel times on the basis of data from loop detectors. Focusing on freeway corridor travel-time prediction that incorporates the effect of traffic propagation, this article presents a dynamic prediction model using the traffic measurements from presence-type vehicle detector data. The authors designed a multistep predictor in the form of a seasonal autoregressive integrated moving average model with an embedded adaptive Kalman filter that allows for continued adjustment of prediction results when new data become available in real time. The authors evaluated the corridor travel-time prediction method against 2 alternative methods using the same procedure as proposed, but one does not consider the effects of traffic propagation along the corridor and the other one does not perform the multiple-step traffic prediction. Along with the performance metrics, this study demonstrates the advantages of the model in capturing the dynamics of traffic and reveals the significant effects of traffic propagation on corridor travel-time prediction for producing more accurate prediction results. The authors also developed an online implementation framework.",travel time is an important measure for transportation system performance evaluation in particular it is an essential input to the advanced traveler information systems and route guidance applications that requires reliable traffic information in real time therefore numerous studies have been conducted to predict segment and corridor travel times on the basis of data from loop detectors focusing on freeway corridor traveltime prediction that incorporates the effect of traffic propagation this article presents a dynamic prediction model using the traffic measurements from presencetype vehicle detector data the authors designed a multistep predictor in the form of a seasonal autoregressive integrated moving average model with an embedded adaptive kalman filter that allows for continued adjustment of prediction results when new data become available in real time the authors evaluated the corridor traveltime prediction method against  alternative methods using the same procedure as proposed but one does not consider the effects of traffic propagation along the corridor and the other one does not perform the multiplestep traffic prediction along with the performance metrics this study demonstrates the advantages of the model in capturing the dynamics of traffic and reveals the significant effects of traffic propagation on corridor traveltime prediction for producing more accurate prediction results the authors also developed an online implementation framework
15472450.2011.594669,10.1080/15472450.2011.594669,An Optimal Investment Scheduling Framework for Intelligent Transportation Systems Architecture,2011,115,132,6,2011-15-3,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.594669,regular,an optimal investment scheduling framework for intelligent transportation systems architecture,"Transportation planning in general, and planning for intelligent transportation systems (ITSs) in particular, are notable for multiple goals and for multiple constituencies. A review of the current literature offers several ITS investment evaluation methods that provide frameworks for the quantification of risks and benefits. Nevertheless, the traditional selection methods overemphasize quantitative and economic analysis and often neglect to consider qualitative and noneconomic data in the formal selection process. Furthermore, crisp data are fundamentally indispensable in traditional ITS investment selection methods. However, the data in real-world problems are often imprecise or ambiguous. In this article, we propose a novel fuzzy group multi-criteria framework for ITS investment evaluation and selection that takes into consideration (1) the qualitative and quantitative criteria and their respective value judgments; (2) the verbal expressions and linguistic variables for qualitative judgments which lead to ambiguity in the decision process; and (3) imprecise or vague judgments. First, we use fuzzy TOPSIS to calculate the fuzzy risk values with each ITS architecture subsystem. Next, we use fuzzy ROA to calculate the fuzzy real option values of the ITS subsystems. Last, we determine the optimal investment schedule for the ITS subsystems by considering the risk and option values as the coefficients of the objective functions in a group multi-objective decision-making model.",transportation planning in general and planning for intelligent transportation systems  in particular are notable for multiple goals and for multiple constituencies a review of the current literature offers several its investment evaluation methods that provide frameworks for the quantification of risks and benefits nevertheless the traditional selection methods overemphasize quantitative and economic analysis and often neglect to consider qualitative and noneconomic data in the formal selection process furthermore crisp data are fundamentally indispensable in traditional its investment selection methods however the data in realworld problems are often imprecise or ambiguous in this article we propose a novel fuzzy group multicriteria framework for its investment evaluation and selection that takes into consideration  the qualitative and quantitative criteria and their respective value judgments;  the verbal expressions and linguistic variables for qualitative judgments which lead to ambiguity in the decision process; and  imprecise or vague judgments first we use fuzzy topsis to calculate the fuzzy risk values with each its architecture subsystem next we use fuzzy roa to calculate the fuzzy real option values of the its subsystems last we determine the optimal investment schedule for the its subsystems by considering the risk and option values as the coefficients of the objective functions in a group multiobjective decisionmaking model
15472450.2011.594681,10.1080/15472450.2011.594681,Wireless Communication Alternatives for Intelligent Transportation Systems: A Case Study,2011,147,160,10,2011-15-3,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.594681,regular,wireless communication alternatives for intelligent transportation systems  a case study,"Communication systems are the basis of every effective and reliable traffic control and management application. While cellular-based communication through commercial carriers is widely used for online traffic management applications, public agencies have also begun to consider other technologies, such as WiFi and WiMAX. Most such agencies still seek additional guidelines for the selection of suitable wireless options for different traffic control and management applications under different physical and environmental conditions. Performance and reliability are among the most important parameters to be considered when examining wireless communication options for traffic control and management applications. The authors first conducted interviews with selected traffic agencies regarding their experiences with performance of wireless communication infrastructure, as well as their interests and plans on future expansion. Next, they conducted a thorough literature review focusing on various wireless technologies that could be used in an intelligent transportation system environment. Last, the authors conducted a case study in which a section of the South Carolina Department of Transportation traffic camera system was wirelessly connected via either WiFi or WiMAX network architecture. This case study followed the proposed network design process presented in the article using WiFi and WiMAX technologies to support a traffic surveillance system that considered coverage range and two different network topologies: mesh/ad hoc (devices forward data to neighboring devices to reach the destination) and infrastructure (devices send data to an access point directly). The network simulator ns-2 was used to assess the average throughput that each camera can receive in different network topologies. Throughput/cost analysis of WiFi and WiMAX mesh and infrastructure topologies indicated that for given number of devices, a mesh network has better throughput for every dollar spent than infrastructure based topology. This article provides a foundation for further investigation of WiFi and WiMAX performance and reliability under different network topologies. Findings from this research will benefit transportation agencies and other stakeholders in evaluating and selecting wireless communication options and network topologies for various traffic control and management applications.",communication systems are the basis of every effective and reliable traffic control and management application while cellularbased communication through commercial carriers is widely used for online traffic management applications public agencies have also begun to consider other technologies such as wifi and wimax most such agencies still seek additional guidelines for the selection of suitable wireless options for different traffic control and management applications under different physical and environmental conditions performance and reliability are among the most important parameters to be considered when examining wireless communication options for traffic control and management applications the authors first conducted interviews with selected traffic agencies regarding their experiences with performance of wireless communication infrastructure as well as their interests and plans on future expansion next they conducted a thorough literature review focusing on various wireless technologies that could be used in an intelligent transportation system environment last the authors conducted a case study in which a section of the south carolina department of transportation traffic camera system was wirelessly connected via either wifi or wimax network architecture this case study followed the proposed network design process presented in the article using wifi and wimax technologies to support a traffic surveillance system that considered coverage range and two different network topologies meshad hoc  and infrastructure  the network simulator ns was used to assess the average throughput that each camera can receive in different network topologies throughputcost analysis of wifi and wimax mesh and infrastructure topologies indicated that for given number of devices a mesh network has better throughput for every dollar spent than infrastructure based topology this article provides a foundation for further investigation of wifi and wimax performance and reliability under different network topologies findings from this research will benefit transportation agencies and other stakeholders in evaluating and selecting wireless communication options and network topologies for various traffic control and management applications
15472450.2011.594691,10.1080/15472450.2011.594691,Effect of Transport Models on Connectivity of Interbus Communication Networks,2011,161,178,3,2011-15-3,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.594691,regular,effect of transport models on connectivity of interbus communication networks,"Vehicular Ad-Hoc Networks (VANETs) attract considerable research and commercial interest with promising applications in a number of areas including cooperative vehicle-highways systems, sensor networks, and safety systems. However, as a result of high speed and variable driver behavior, automotive ad-hoc networks behave in fundamentally different ways to the most prevalent models in Mobile Ad-Hoc Network (MANET) research. Previous work in MANETs has mostly assumed that the mobile nodes move randomly with an unconstrained mobility model, and it is clear that a random mobility model is not adequate to represent the major characteristics of real-world vehicle motions and may therefore lead to unreliable results. Recent studies of VANETs have attempted to introduce macro- and micromobility constraints to model vehicle motions, but they have mostly focused on modeling the mobility of generic private vehicles. Given the potential for the coordinated deployment of network nodes on centrally managed fleet vehicles, it has become important to model the characteristics of a VANET featuring vehicles of different types, with systematically different behavior patterns. In this article, the authors study the connectivity of mobile ad-hoc networks that consist of buses moving in urban area and examine the implications for transport-related services. Buses have a unique set of behavior characteristics (e.g., fixed routes, schedules, bus stops, specific priorities), which gives rise to distinct effect on node connectivity in the communication network. Through extensive simulations on the basis of real bus routes in central London, the authors (a) demonstrated the effect of the locations of stops and the prevailing traffic patterns on node connectivity (including the distributions of contact duration and intercontact time between buses) and (b) explored its implication on the design of a dissemination system to capture and disseminate data. Their results give a key message that the mobility of buses has to be modeled explicitly, and such kind of knowledge of connectivity among buses will be significant for the studies of routing algorithms and other networking functions in interbus communication networks.",vehicular adhoc networks  attract considerable research and commercial interest with promising applications in a number of areas including cooperative vehiclehighways systems sensor networks and safety systems however as a result of high speed and variable driver behavior automotive adhoc networks behave in fundamentally different ways to the most prevalent models in mobile adhoc network  research previous work in manets has mostly assumed that the mobile nodes move randomly with an unconstrained mobility model and it is clear that a random mobility model is not adequate to represent the major characteristics of realworld vehicle motions and may therefore lead to unreliable results recent studies of vanets have attempted to introduce macro and micromobility constraints to model vehicle motions but they have mostly focused on modeling the mobility of generic private vehicles given the potential for the coordinated deployment of network nodes on centrally managed fleet vehicles it has become important to model the characteristics of a vanet featuring vehicles of different types with systematically different behavior patterns in this article the authors study the connectivity of mobile adhoc networks that consist of buses moving in urban area and examine the implications for transportrelated services buses have a unique set of behavior characteristics  which gives rise to distinct effect on node connectivity in the communication network through extensive simulations on the basis of real bus routes in central london the authors  demonstrated the effect of the locations of stops and the prevailing traffic patterns on node connectivity  and  explored its implication on the design of a dissemination system to capture and disseminate data their results give a key message that the mobility of buses has to be modeled explicitly and such kind of knowledge of connectivity among buses will be significant for the studies of routing algorithms and other networking functions in interbus communication networks
15472450.2011.620474,10.1080/15472450.2011.620474,An Optimized Content Replication and Distribution Framework for Vehicular Networks,2011,179,192,3,2011-15-4,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.620474,regular,an optimized content replication and distribution framework for vehicular networks,"Future road vehicles are expected to support point-to-point and long-range wireless connectivity as a standard feature, allowing data transfers while moving. In this vein, it is possible to forecast and develop new communication paradigms, as well as new infrastructures to take advantage of peculiarities of vehicular networks. This article introduces an optimized framework, on the basis of peer-to-peer principles, to manage content replication and dissemination through a mobile vehicular network. This is obtained through a discrete-time dynamic system over which an optimization problem must be solved in real time. Such a solution enables two different operations: (a) to overcome bandwidth limitations for distributing information among vehicles (e.g., traffic or security bulletins and multimedia contents) in an efficient way; (b) to use the vehicular flow as a virtual backbone to deliver data to different spatial locations without the need of a fixed network infrastructure. Simulations are provided to show the effectiveness of the proposed approach, with respect to classic peer-to-peer distribution schemes directly “ported” over the vehicular network. A direct comparison with an infrastructure-oriented solution is also presented.",future road vehicles are expected to support pointtopoint and longrange wireless connectivity as a standard feature allowing data transfers while moving in this vein it is possible to forecast and develop new communication paradigms as well as new infrastructures to take advantage of peculiarities of vehicular networks this article introduces an optimized framework on the basis of peertopeer principles to manage content replication and dissemination through a mobile vehicular network this is obtained through a discretetime dynamic system over which an optimization problem must be solved in real time such a solution enables two different operations  to overcome bandwidth limitations for distributing information among vehicles  in an efficient way;  to use the vehicular flow as a virtual backbone to deliver data to different spatial locations without the need of a fixed network infrastructure simulations are provided to show the effectiveness of the proposed approach with respect to classic peertopeer distribution schemes directly ported over the vehicular network a direct comparison with an infrastructureoriented solution is also presented
15472450.2011.620478,10.1080/15472450.2011.620478,Synthetic Fuzzy Evaluation Method of Trajectory Similarity in Map-Matching,2011,193,204,10,2011-15-4,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.620478,regular,synthetic fuzzy evaluation method of trajectory similarity in map matching,"Despite the rapid development of concepts used in current map-matching algorithms, the continuous movement of a vehicle is often ignored or just limited to 1 or several previous matches. This may result in errors in complicated situations such as at Y-junctions, and entrance or exit ramps of a highway. The trajectory-based map-matching algorithm, which determines the matching road by comparing the vehicle trajectory against candidate roads, has the potential to overcome this limitation. However, the curve-to-curve matching as a simple form of trajectory-based map-matching fails to address this. The key issue of a trajectory-based map-matching algorithm is how to evaluate the similarity between the trajectory and the possible traveling roads. This article develops a synthetic fuzzy evaluation method to address the issue. The similarities are quantified in terms of location, shape, direction, and behavior. As a new input in map-matching, vehicle behavior refers to changes in the motion of the vehicle such as turning, which is restrained by the geometry of traveling road. The article also proposes a multilevel fuzzy synthetic evaluation process to assess the similarities and hierarchically synthesize them into a final evaluation. The method is evaluated using GPS positions recorded with a vehicle traveling in the urban area of Beijing, China. The traveled road paths include complicated roads conditions such as flyovers, highway entrances and exits. The method identifies more than 98% of the road segments correctly, showing a significant improvement over existing map-matching algorithms.",despite the rapid development of concepts used in current mapmatching algorithms the continuous movement of a vehicle is often ignored or just limited to  or several previous matches this may result in errors in complicated situations such as at yjunctions and entrance or exit ramps of a highway the trajectorybased mapmatching algorithm which determines the matching road by comparing the vehicle trajectory against candidate roads has the potential to overcome this limitation however the curvetocurve matching as a simple form of trajectorybased mapmatching fails to address this the key issue of a trajectorybased mapmatching algorithm is how to evaluate the similarity between the trajectory and the possible traveling roads this article develops a synthetic fuzzy evaluation method to address the issue the similarities are quantified in terms of location shape direction and behavior as a new input in mapmatching vehicle behavior refers to changes in the motion of the vehicle such as turning which is restrained by the geometry of traveling road the article also proposes a multilevel fuzzy synthetic evaluation process to assess the similarities and hierarchically synthesize them into a final evaluation the method is evaluated using gps positions recorded with a vehicle traveling in the urban area of beijing china the traveled road paths include complicated roads conditions such as flyovers highway entrances and exits the method identifies more than  of the road segments correctly showing a significant improvement over existing mapmatching algorithms
15472450.2011.620487,10.1080/15472450.2011.620487,Link Flow Estimation in Traffic Networks on the Basis of Link Flow Observations,2011,205,222,16,2011-15-4,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.620487,regular,link flow estimation in traffic networks on the basis of link flow observations,"Given a traffic network, the problem of identifying the smallest subset of links on which to locate sensors that allow the exact estimation of a given subset of links flows is dealt with, and methods for solving this partial link-observability problem are given. As sources of information, the authors consider 2 separate types of link sensors: counters and scanners. The first type leads to a method, which is an alternative to the previous method of Hu, Peeta, and Chu. First, the authors show how the previous method can be directly used for solving the partial observability problem. Next, the authors present a simple alternative algorithm, based on the pivoting strategy, that can include information about route and Origin-Destination (OD) flows observability. The observability problem based on scanners leads to a more difficult problem but supplies much more information about traffic flows. The authors give 2 simple algorithms for solving this problem in this case. The first algorithm allows checking that a given subset of links supplies the required information to estimate the flows in the selected subset of links, and provides information about route and OD observability. The second, which is a random algorithm, permits reducing the number of links of an initial subset of scanned links that solves the problem, and when a further reduction is not possible, modifies the initial set of scanning links for a new trial randomly. The proposed methods are illustrated using the parallel highway network of Hu, Peeta, and Chu. Last, the authors apply methods to two examples of applications—the Nguyen-Dupuis and the real Cuenca network—and provide some conclusions.",given a traffic network the problem of identifying the smallest subset of links on which to locate sensors that allow the exact estimation of a given subset of links flows is dealt with and methods for solving this partial linkobservability problem are given as sources of information the authors consider  separate types of link sensors counters and scanners the first type leads to a method which is an alternative to the previous method of hu peeta and chu first the authors show how the previous method can be directly used for solving the partial observability problem next the authors present a simple alternative algorithm based on the pivoting strategy that can include information about route and origindestination  flows observability the observability problem based on scanners leads to a more difficult problem but supplies much more information about traffic flows the authors give  simple algorithms for solving this problem in this case the first algorithm allows checking that a given subset of links supplies the required information to estimate the flows in the selected subset of links and provides information about route and od observability the second which is a random algorithm permits reducing the number of links of an initial subset of scanned links that solves the problem and when a further reduction is not possible modifies the initial set of scanning links for a new trial randomly the proposed methods are illustrated using the parallel highway network of hu peeta and chu last the authors apply methods to two examples of applicationsthe nguyendupuis and the real cuenca networkand provide some conclusions
15472450.2011.620490,10.1080/15472450.2011.620490,A Quasi-Dynamic Robust Control Scheme for Signalized Intersections,2011,223,233,10,2011-15-4,https://www.tandfonline.com/doi/full/10.1080/15472450.2011.620490,regular,a quasi dynamic robust control scheme for signalized intersections,"Conventional vehicle-actuated traffic signal control attempts to achieve system optimum by ending a phase as soon as queues served during that phase vanish. In this article, the authors extend this logic to intersections where a stable cycle length is desirable (e.g., for signal coordination or other considerations). The proposed control scheme dynamically updates green allocation to keep queues on all approaches well balanced. Different from fully dynamic control strategies, the proposed quasi-dynamic scheme is based on a finite set of fixed timing plans with a common cycle length. The decision of switching from one plan to another is made at the beginning of each cycle based on the queue state in the previous cycle. Our experimental results showed that the performance of the proposed scheme is robust with respect to random fluctuation, systematic changes in demand, and input data quality. Although the proposed scheme does not attempt to minimize total system delay directly, it provides a good solution for reducing total system delay compared with the signal timing plan optimized for system delay. The preservation of a stable cycle length in the proposed signal timing plan has made it possible to incorporate the proposed scheme into the development of control strategies for an arterial where signal coordination is essential to the performance of the system.",conventional vehicleactuated traffic signal control attempts to achieve system optimum by ending a phase as soon as queues served during that phase vanish in this article the authors extend this logic to intersections where a stable cycle length is desirable  the proposed control scheme dynamically updates green allocation to keep queues on all approaches well balanced different from fully dynamic control strategies the proposed quasidynamic scheme is based on a finite set of fixed timing plans with a common cycle length the decision of switching from one plan to another is made at the beginning of each cycle based on the queue state in the previous cycle our experimental results showed that the performance of the proposed scheme is robust with respect to random fluctuation systematic changes in demand and input data quality although the proposed scheme does not attempt to minimize total system delay directly it provides a good solution for reducing total system delay compared with the signal timing plan optimized for system delay the preservation of a stable cycle length in the proposed signal timing plan has made it possible to incorporate the proposed scheme into the development of control strategies for an arterial where signal coordination is essential to the performance of the system
15472450.2012.639635,10.1080/15472450.2012.639635,Management of Demand and Routing in Autonomous Personal Transportation,2012,1,11,12,2012-16-1,https://www.tandfonline.com/doi/full/10.1080/15472450.2012.639635,regular,management of demand and routing in autonomous personal transportation,"Autonomous vehicles are becoming a reality. In particular, podcars were already launched in pilot projects. The wide use of such vehicles for personal transportation in urban areas is then just a matter of time and poses several research challenges and technical issues to the artificial intelligence and multiagent communities. This article focuses on issues related to the processing of demands for these vehicles and on routing them in an efficient way. An agent-based approach is proposed, which considers some variants for the processing of demands and for the routing. First, a centralized version is discussed. Then, extensions deal with decentralized routing, with enroute planning, intervehicle communication, and with a market-based approach where the manager of the service runs an auction to determine which customer to serve. All these variants aim at testing alternatives in order to shed light onto questions such as how the podcar service is to be provided and how trips have to be planned, as well as address challenges related to the management. Results show that, although this service can be provided by a central authority, communication, as well as reliability and fault-tolerance, should not be neglected.",autonomous vehicles are becoming a reality in particular podcars were already launched in pilot projects the wide use of such vehicles for personal transportation in urban areas is then just a matter of time and poses several research challenges and technical issues to the artificial intelligence and multiagent communities this article focuses on issues related to the processing of demands for these vehicles and on routing them in an efficient way an agentbased approach is proposed which considers some variants for the processing of demands and for the routing first a centralized version is discussed then extensions deal with decentralized routing with enroute planning intervehicle communication and with a marketbased approach where the manager of the service runs an auction to determine which customer to serve all these variants aim at testing alternatives in order to shed light onto questions such as how the podcar service is to be provided and how trips have to be planned as well as address challenges related to the management results show that although this service can be provided by a central authority communication as well as reliability and faulttolerance should not be neglected
15472450.2012.639640,10.1080/15472450.2012.639640,Lane-Changing Decision Model for Heavy Vehicle Drivers,2012,24,35,32,2012-16-1,https://www.tandfonline.com/doi/full/10.1080/15472450.2012.639640,regular,lane changing decision model for heavy vehicle drivers,"Lane-changing maneuvers of heavy vehicles have significant influence on surrounding traffic characteristics because of the physical effects that the heavy vehicles impose on surrounding vehicles. These effects are the result of heavy vehicles’ length, size, weight, and limitations in their maneuverability. Because of the importance of heavy vehicle lane-changing maneuvers, this article presents an exclusive fuzzy logic lane-changing decision model with 2 and 3 fuzzy sets for heavy vehicle drivers on freeways. To examine the accuracy of the heavy vehicle drivers’ lane-changing decision model, the authors compared the number of estimated lane-changing maneuvers of heavy vehicles with the observed number of heavy vehicle lane-changing maneuvers. In addition, the authors compared estimated traffic flow measurements (e.g., traffic flow, average speed) with the observed traffic flow measurements through microscopic traffic simulations. Results show that the fuzzy logic heavy vehicle lane-changing model can better replicate the observed lane-changing decisions of heavy vehicle drivers than can the current lane-changing decision models. Furthermore, using an exclusive heavy vehicle lane-changing decision model can increase the accuracy of the microscopic traffic simulation software in estimating the macroscopic traffic flow measurements.",lanechanging maneuvers of heavy vehicles have significant influence on surrounding traffic characteristics because of the physical effects that the heavy vehicles impose on surrounding vehicles these effects are the result of heavy vehicles length size weight and limitations in their maneuverability because of the importance of heavy vehicle lanechanging maneuvers this article presents an exclusive fuzzy logic lanechanging decision model with  and  fuzzy sets for heavy vehicle drivers on freeways to examine the accuracy of the heavy vehicle drivers lanechanging decision model the authors compared the number of estimated lanechanging maneuvers of heavy vehicles with the observed number of heavy vehicle lanechanging maneuvers in addition the authors compared estimated traffic flow measurements  with the observed traffic flow measurements through microscopic traffic simulations results show that the fuzzy logic heavy vehicle lanechanging model can better replicate the observed lanechanging decisions of heavy vehicle drivers than can the current lanechanging decision models furthermore using an exclusive heavy vehicle lanechanging decision model can increase the accuracy of the microscopic traffic simulation software in estimating the macroscopic traffic flow measurements
15472450.2012.639641,10.1080/15472450.2012.639641,Vehicle Trajectory Effects of Adaptive Cruise Control,2012,36,44,26,2012-16-1,https://www.tandfonline.com/doi/full/10.1080/15472450.2012.639641,regular,vehicle trajectory effects of adaptive cruise control,Adaptive cruise control (ACC) can potentially improve quality-of-service and safety and reduce the environmental effect of the road traffic system. This article uses vehicle trajectories from traffic simulation to study effects of ACC on vehicle acceleration and deceleration rates. The analysis is based on traffic simulations with car-following models including ACC functionality and driver behavior in ACC-equipped as well as standard nonequipped vehicles. The simulation results show that ACC can improve the traffic situation in terms of reduced acceleration and deceleration rates even though macroscopic traffic properties may remain uninfluenced. This supports the hypothesized positive road safety and environmental effects of ACC. It is also established that the results are largely dependent on the assumptions made regarding driver behavior in ACC-equipped and standard vehicles. It is consequently crucial to include appropriate assumptions regarding driver behavior in traffic simulation–based analyses of ACC.,adaptive cruise control  can potentially improve qualityofservice and safety and reduce the environmental effect of the road traffic system this article uses vehicle trajectories from traffic simulation to study effects of acc on vehicle acceleration and deceleration rates the analysis is based on traffic simulations with carfollowing models including acc functionality and driver behavior in accequipped as well as standard nonequipped vehicles the simulation results show that acc can improve the traffic situation in terms of reduced acceleration and deceleration rates even though macroscopic traffic properties may remain uninfluenced this supports the hypothesized positive road safety and environmental effects of acc it is also established that the results are largely dependent on the assumptions made regarding driver behavior in accequipped and standard vehicles it is consequently crucial to include appropriate assumptions regarding driver behavior in traffic simulationbased analyses of acc
15472450.2012.671706,10.1080/15472450.2012.671706,Toward an Autonomic Architecture for Real-Time Traffic Network Management,2012,45,59,9,2012-16-2,https://www.tandfonline.com/doi/full/10.1080/15472450.2012.671706,regular,toward an autonomic architecture for real time traffic network management,"This article presents an autonomic-based architecture for real-time traffic management in congested urban transportation networks. The architecture assumes the availability of spatially distributed controllers in the network. Each controller is capable of monitoring the traffic within a predefined subnetwork and provides efficient control strategies for its traffic. Controllers are assumed to be able to share information on the observed traffic pattern and their control actions. In addition, controllers could be dynamically configured to operate in teams to develop integrated traffic management schemes that best cope with the observed traffic pattern in the network. The article presents the results of a set of off-line experiments that examine the performance of the proposed architecture. The experiments evaluate the most efficient team-formation strategies among controllers to mitigate a nonrecurrent traffic congestion situation in a typical highway network. The results show that more efficient traffic management strategies could be obtained through collaboration among individual controllers and could result in considerable travel time savings.",this article presents an autonomicbased architecture for realtime traffic management in congested urban transportation networks the architecture assumes the availability of spatially distributed controllers in the network each controller is capable of monitoring the traffic within a predefined subnetwork and provides efficient control strategies for its traffic controllers are assumed to be able to share information on the observed traffic pattern and their control actions in addition controllers could be dynamically configured to operate in teams to develop integrated traffic management schemes that best cope with the observed traffic pattern in the network the article presents the results of a set of offline experiments that examine the performance of the proposed architecture the experiments evaluate the most efficient teamformation strategies among controllers to mitigate a nonrecurrent traffic congestion situation in a typical highway network the results show that more efficient traffic management strategies could be obtained through collaboration among individual controllers and could result in considerable travel time savings
15472450.2012.671708,10.1080/15472450.2012.671708,A Multimodal Trip Planning System With Real-Time Traffic and Transit Information,2012,60,69,15,2012-16-2,https://www.tandfonline.com/doi/full/10.1080/15472450.2012.671708,regular,a multimodal trip planning system with real time traffic and transit information,"Most transit trip planning systems are based on static schedules and generate trips that do not dynamically respond to delays in transit operation caused by traffic congestion or accidents. In addition, the driving-parking-then-transit travel mode is common in metropolitan areas. However, very few transit trip planners incorporate real-time transit data into this mode. This article describes a multimodal trip planning system for multiple modes: driving, transit, and driving-parking-then-transit. The system considers the real-time transit arrival time, which is estimated by a prediction model. Both Web-based and mobile phone-based clients are used to access the system. Case studies show that the multimodal trip planning system works well in real-life situations.",most transit trip planning systems are based on static schedules and generate trips that do not dynamically respond to delays in transit operation caused by traffic congestion or accidents in addition the drivingparkingthentransit travel mode is common in metropolitan areas however very few transit trip planners incorporate realtime transit data into this mode this article describes a multimodal trip planning system for multiple modes driving transit and drivingparkingthentransit the system considers the realtime transit arrival time which is estimated by a prediction model both webbased and mobile phonebased clients are used to access the system case studies show that the multimodal trip planning system works well in reallife situations
15472450.2012.671709,10.1080/15472450.2012.671709,A Methodology for Assessing the Benefits of Coordination on the Safety of Vehicles,2012,70,81,4,2012-16-2,https://www.tandfonline.com/doi/full/10.1080/15472450.2012.671709,regular,a methodology for assessing the benefits of coordination on the safety of vehicles,"In this article, we present a methodology for assessing the benefits of different vehicle coordination strategies on the safety of a platoon during emergency braking. One can say that a coordinated braking strategy B is more beneficial than a strategy A, if strategy B leads to a larger reduction in the probability of a collision, the expected number of collisions, and the expected relative velocity at impact as compared to strategy A. We consider an emergency braking scenario, in which the lead vehicle brakes at its maximum capability and the following vehicles coordinate their braking. The sequence of maximum braking capability (i.e., deceleration) of vehicles in the platoon is assumed to be a sequence of independent and identically distributed random variables; this distribution is assumed to be discrete and known. Due to coordination among vehicles, however, the “effective” deceleration of a following vehicle may not necessarily be its maximum value. The problem of assessing the benefits of coordination can be formulated as three subproblems. The first subproblem deals with determining the probability distribution of the “effective” deceleration of following vehicles during emergency braking. It is intuitive that the smaller the variance of this distribution, the greater the safety benefits are. We define three metrics of safety through the concept of a violation. A violation occurs in a platoon if the “effective” deceleration of a following vehicle is smaller than that of its predecessor. The second subproblem deals with determining the probability of occurrence of a violation, expected number of violations, and the expected relative velocity corresponding to a possible collision as a function of the difference in the braking capabilities of successive vehicles in a platoon. The probability of an intervehicular collision and the expected number of collisions are related to the probability of a violation and the expected number of violations, respectively. The concept of a violation circumvents the need for a detailed consideration of the mechanics of a collision. A method is provided here to compute these metrics of safety using a Markov chain. The third subproblem deals with conducting Monte Carlo simulation to corroborate the safety benefits of coordination during emergency braking and the viability of our analytical approach to provide the correct trend.",in this article we present a methodology for assessing the benefits of different vehicle coordination strategies on the safety of a platoon during emergency braking one can say that a coordinated braking strategy b is more beneficial than a strategy a if strategy b leads to a larger reduction in the probability of a collision the expected number of collisions and the expected relative velocity at impact as compared to strategy a we consider an emergency braking scenario in which the lead vehicle brakes at its maximum capability and the following vehicles coordinate their braking the sequence of maximum braking capability  of vehicles in the platoon is assumed to be a sequence of independent and identically distributed random variables; this distribution is assumed to be discrete and known due to coordination among vehicles however the effective deceleration of a following vehicle may not necessarily be its maximum value the problem of assessing the benefits of coordination can be formulated as three subproblems the first subproblem deals with determining the probability distribution of the effective deceleration of following vehicles during emergency braking it is intuitive that the smaller the variance of this distribution the greater the safety benefits are we define three metrics of safety through the concept of a violation a violation occurs in a platoon if the effective deceleration of a following vehicle is smaller than that of its predecessor the second subproblem deals with determining the probability of occurrence of a violation expected number of violations and the expected relative velocity corresponding to a possible collision as a function of the difference in the braking capabilities of successive vehicles in a platoon the probability of an intervehicular collision and the expected number of collisions are related to the probability of a violation and the expected number of violations respectively the concept of a violation circumvents the need for a detailed consideration of the mechanics of a collision a method is provided here to compute these metrics of safety using a markov chain the third subproblem deals with conducting monte carlo simulation to corroborate the safety benefits of coordination during emergency braking and the viability of our analytical approach to provide the correct trend
