applications,application
investigation,investigate
investigates,investigate
investments,investment
markets,market
lands,land
launched,launch
launches,launch
lengths,length
widths,width
leaves,leave
leads,lead
learned,learn
looks,look
loggers,logger
magnitudes,magniude
markings,marking
matched,match
matches,match
means,mean
meetings,meeting
messages,message
methodologies,methodology
metrics,metric
modes,mode
months,month
motions,motion
motorways,motorway
nearby,near
needed,need
needs,need
neglected,neglect
numbers,number
objects,object
offsets,offset
ontimes,ontime
opinions,opinion
optima,optimal
optimum,optimal
optimizations,optimize
optimization,optimize
optimizes,optimize
optimized,optimize
organized,organize
outcomes,outcome
overestimates,overestimate
underestimates,underestimate
packages,package
parks,park
pairs,pair
partially,partial
percentages,percentage
perceptions,perception
planners,planner
personalize,personalized
planned,plan
podcars,podcar
poses,pose
positions,position
practices,practice
precisely,precise
processed,process
processing,process
produced,produce
produces,produce
projects,project
properties,property
questionaires,questionaire
randomly,random
residents,resident
responses,response
resulted,result
requests,request
requested,request
remotely,remote
reproduces,reproduce
remains,remain
relies,rely
requirements,requirement
relationships,relationship
recognizes,recognize
recognized,recognize
realities,reality
reveals,reveal
revealed,reveal
rings,ring
restrictions,restriction
rules,rule
samples,sample
sampled,sample
scenes,scene
schemes,scheme
scores,score
selected,select
selections,selection
solutions,solution
serves,serve
served,serve
settings,setting
severely,severe
shifted,shift
shifts,shift
shipments,shipment
shortages,shortage
sides,side
sketched,sketch
slots,slot
slopes,slope
solved,solve
solevs,solve
sources,source
spent,spend
spillbacks,spillback
steps,step
stops,stop
streets,street
styles,style
subjects,subject
subproblems,subproblem
subsystems,subsystem
supported,support
supports,support
synthesizes,synthesize
takes,take
took,take
taken,take
tackled,tackle
tackles,tackle
tasks,task
techniques,technique
thoroughly,thorough
timestamped,timestamp
timings,timing
tolls,toll
tools,tool
tradeoffs,tradeoff
transitions,transition
travels,travel
treated,treat
treats,treat
truths,truth
tried,try
trials,trial
trees,tree
utilized,utilize
utilizes,utilize
uturn,uturns
variances,variance
ways,way
weeks,week
works,work
worked,work
workers,worker
yields,yield
yielded,yield
achieved,achieve
archived,archive
contents,content
environments,environment
comparing,compare
tends,tend
tended,tend
describing,describe
deployed,deploy
published,publish
minimizing,minimize
maximizing,maximize
phones,phone
plates,plate
avoids,avoid
avoided,avoid
combined,combine
combines,combine
helped,help
helps,help
constructed,construct
acquired,acquire
acquires,acquire
navigates,navigate
throughputs,throughput
scans,scan
scanned,scan
locationizations,locationization
obstacles,obstacle
faces,face
facilitates,facilitate
instances,instance
ships,ship
integers,integer
established,establish
required,require
scheduled,schedule
schedulers,scheduler
strategies,strategy
resources,resource
maneuvers,maneuver
structures,structure
explored,explore
explores,explore
solves,solve
solved,solve
experiments,experiment
parameters,parameter
expressions,expression
flights,flight
scales,scale
alternatives,alternative
cameras,camera
features,feature
understanding,understand
examined,examine
tracks,track
freeways,freeway
estimation,estimate
limits,limit
bottlenecks,bottleneck
identifying,identify
prediction,predict
forecasting,forecast
controllers,controller
implies,imply
stands,stand
accounting,account
segments,segment
greater,great
representation,represent
automatically,automatic
iterations,iteration
highest,high
higher,high
faced,face
insights,insight
profiles,profile
suggests,suggest
suggested,suggest
specified,specify
specifies,specify
preferred,prefer
pedestrians,pedestrian
offers,offer
offered,offer
particularly,particular
sections,section
predicting,predict
